study,pval,tstat,tcrit,mui,muin,yi,vi,N,hack,signif,affirm,Di,Mu,T2,m,t2w,se,Nmax,k,k.hacked
928,0.859791123446423,0.176731346741248,1.96472939098769,0.892673833361255,0.0643087239391226,0.088633848451469,0.251519719161989,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
929,0.271780096368025,1.10018933572729,1.96472939098769,0.642226890632925,0.129854504439534,0.539536311808087,0.24049524593813,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
930,0.000491566180530708,3.50840479210218,1.96472939098769,1.49670718308085,2.04486255517622,1.72517675818235,0.241795272932591,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
931,0.245713049733275,1.16219195203799,1.96472939098769,0.832316252169248,1.35021867955492,0.57456503262415,0.244412073913519,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
932,0.0562876883375896,1.91325249273851,1.96472939098769,1.12282000821721,1.12240616144176,0.960694108905146,0.252130670906681,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
933,0.428687359518027,0.792085232377738,1.96472939098769,1.13086787146397,1.44245537127231,0.397004767494522,0.251216182297049,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
934,0.0326233599926803,2.14266206801771,1.96472939098769,0.763066559609162,1.09040883033125,1.10446184017331,0.265701537875227,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
935,0.657942856797039,-0.443020558912986,1.96472939098769,0.70013027530174,-0.228870387706367,-0.216307003982076,0.238392947207204,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
936,0.136984256350075,1.48951234238673,1.96472939098769,0.722801034040994,-0.0258910275205817,0.771986503985249,0.26861558304111,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
937,0.877036848430153,-0.154806009126978,1.96472939098769,0.604619502423455,0.44854051865068,-0.0785248116701454,0.257299046897984,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
938,0.612097145574222,-0.507401728863181,1.96472939098769,1.00621041193432,-0.2055837132267,-0.2756457837343,0.295120122525645,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
939,1.23907338147965e-05,4.41500668785404,1.96472939098769,0.692591572407505,1.7109201801711,2.13947517078318,0.234829022282093,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
940,0.112846385814757,1.58832439734668,1.96472939098769,1.08340806109955,1.39892355585501,0.787867611084139,0.246052669140391,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
941,0.000343595258552609,3.60493499098708,1.96472939098769,1.49881441481359,1.54416669654518,1.81697880043973,0.254041603742666,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
942,0.0219240077499153,2.29888140808146,1.96472939098769,0.652995375626445,0.829281839432533,1.1443217710423,0.247778252230972,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
943,0.401661550003612,0.83937375195111,1.96472939098769,0.602805647372929,0.581997634616086,0.417778525570365,0.247731628266421,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
944,0.000242593089444138,3.69673143902535,1.96472939098769,1.19984127483493,1.85939694509072,1.80179838867054,0.237561788593275,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
945,0.00534390107154546,2.79781185839568,1.96472939098769,0.827188768106999,1.67634010579411,1.36965771618934,0.239655325366011,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
946,0.965619989378166,-0.0431239355033029,1.96472939098769,0.802914987090479,1.48070058281218,-0.0209384935073699,0.23575129532089,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
947,0.300229381939204,1.03701873457192,1.96472939098769,1.41435314027453,0.487472903940399,0.512383697393784,0.244127892432632,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
948,9.64408744996279e-06,4.471045357085,1.96472939098769,1.82375108894382,1.83620705751125,2.19772613366098,0.241617837879689,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
949,0.245241888280552,1.16335401531679,1.96472939098769,0.471247274155748,0.259475510409716,0.609324473162749,0.274330096979484,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
950,0.706920112848651,-0.376210762859274,1.96472939098769,0.252741536093825,0.192636586304095,-0.185327146963535,0.242669753014793,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
951,0.0275811002217864,2.20967375782856,1.96472939098769,0.725405456250642,1.06298059631399,1.03944185415555,0.22128097902694,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
952,0.000478833125048493,3.51555355670404,1.96472939098769,1.63166194317589,1.51700509265515,1.8319592993103,0.271546496882306,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
953,0.420796396502875,0.805705588523052,1.96472939098769,0.155899504116056,-0.135208526958282,0.423866406132883,0.276761224329225,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
954,0.435397612978299,-0.780617545885392,1.96472939098769,-0.675484417849554,-0.334246051655161,-0.399010582140723,0.261271603194414,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
955,2.5425320318841e-05,4.25084032987762,1.96472939098769,0.713344591277529,1.32834812866175,2.04314858266936,0.231020392213452,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
956,0.164760031505452,-1.39128153804107,1.96472939098769,0.481897940765468,0.0511951952156433,-0.687264177180615,0.244015475627952,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
957,0.0294183625821332,2.18411808602027,1.96472939098769,0.00452725275133803,0.223307180902523,1.11801382399679,0.262024630252762,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
958,0.826128770033085,0.219784630332593,1.96472939098769,0.537612293827727,0.515081126450447,0.109969293246112,0.2503503659048,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
959,0.180311248121674,1.34167615787385,1.96472939098769,0.394163573577633,-0.0255021858674595,0.686537058620941,0.261837933966073,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
960,0.817094921059836,0.231405149677896,1.96472939098769,0.809169109275013,0.636065773439249,0.11601375769261,0.251346561726416,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
961,2.3352740457542e-06,4.7776898797008,1.96472939098769,1.30582859450177,1.36194796226777,2.44634490636414,0.262179941712033,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
962,0.59824031520628,-0.527270180814612,1.96472939098769,0.544414309286943,1.16973300422552,-0.27085898838789,0.26388826774514,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
963,2.78384491993463e-12,7.16647865642485,1.96472939098769,2.24426096382081,3.24714872676407,3.77891907399709,0.278050422646021,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
964,0.000476667692611193,3.51678696536034,1.96472939098769,1.54027609485018,1.1189813568631,1.73593698517526,0.243655259356652,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
965,4.81025918354595e-10,6.35129916020709,1.96472939098769,1.28670013557245,2.42295743479914,3.20362069131942,0.254423393582275,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
966,8.17063502609429e-05,3.97218133282928,1.96472939098769,1.12386630816941,1.99707802178678,1.96557248426118,0.244861212418125,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
967,7.12650065748319e-09,5.88946324280842,1.96472939098769,0.917208667125708,1.75574672333179,2.94829764908613,0.250605859437262,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
968,0.102706789664562,1.6348707080862,1.96472939098769,0.681439030003588,1.14333086275117,0.829522333562862,0.257447892552804,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
969,0.276921921595368,1.0884499648391,1.96472939098769,0.596555254910379,0.679402901873761,0.554221977203405,0.259268973004148,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
970,0.0632520615193841,1.86156569638329,1.96472939098769,1.25839136938836,0.95044286158153,0.906543675885979,0.237148690123895,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
971,9.14523741806753e-07,4.9716080632992,1.96472939098769,1.95889868705594,2.20936023624342,2.67969883621923,0.290521453199384,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
972,0.0123163117200785,2.51209081629957,1.96472939098769,1.46606694898843,1.8469723419552,1.23939746876491,0.243416793968848,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
973,0.0965068604554666,1.66516826637212,1.96472939098769,0.723000848706349,1.28144391456084,0.785908929903509,0.222755376615859,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
974,0.238083609263993,1.1812058757883,1.96472939098769,0.673070917825105,0.0527103276416855,0.600488462325858,0.258439050883725,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
975,0.00602058013923161,2.75846289936557,1.96472939098769,1.26901776844946,1.13579635630503,1.36232284000095,0.243907851863692,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
976,0.0636658299620321,1.85864645208737,1.96472939098769,0.12004374662037,0.897315362787701,0.934166119227604,0.252612391308384,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
977,0.829927314376246,-0.214907402042987,1.96472939098769,0.511638121736776,0.275427971043607,-0.109918383110024,0.261600105259975,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
978,1.23244747209108e-07,5.36634866480862,1.96472939098769,2.15754926434002,2.15810202542503,2.72550943159267,0.25795123150776,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
979,0.403120832469216,0.836772801188468,1.96472939098769,0.684299380080879,0.762680674351935,0.411176121786352,0.241457478680855,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
980,0.0779465088797722,1.76636186810889,1.96472939098769,0.950077197799317,0.652192141934049,0.919900808191043,0.271220579438241,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
981,0.417027227570613,0.812264448629594,1.96472939098769,1.30794952048341,0.563382453396762,0.404435344616196,0.247915291262646,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
982,0.000487143127143801,3.51086820142472,1.96472939098769,1.9528344580966,1.42884336830195,1.72464662086365,0.241307706027704,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
983,8.52246645783326e-06,4.49847613055518,1.96472939098769,1.49075783046179,1.87748112069862,2.30052377030767,0.261530659637522,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
984,0.0286298890841216,2.19491159615473,1.96472939098769,0.518224641848661,0.249197185991117,1.1077189780739,0.254697760759284,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
985,0.909943647603381,0.113167029137108,1.96472939098769,0.0739050032112694,0.709033698791638,0.0547436781361498,0.234006605775013,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
986,0.713919430099837,0.366805719592066,1.96472939098769,1.08765967345487,0.322062258925024,0.183283195419303,0.249673872756636,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
987,0.00641433711930028,2.73737068689579,1.96472939098769,0.571206146967569,1.51160340515191,1.41227451095688,0.266177301125714,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
